id,objective, theta0, theta1
0.0,33.01044,4.91,1.97,
1.0,28.086219456,5.792,2.0336,
2.0,27.124672606310398,6.03752,1.8186079999999998,
3.0,26.382158490743436,6.1756736,1.5772582399999997,
4.0,25.749872727104584,6.289524608,1.3475593471999998,
5.0,25.209869685024614,6.39258957824,1.1342389084159998,
6.0,24.74864209045638,6.4875052009472,0.9369294750924798,
7.0,24.354697274468208,6.575172717756416,0.7545534302879742,
8.0,24.01822016350517,6.656185786240533,0.5859998602976949,
9.0,23.730827508939573,6.731055777782851,0.4302241551600421,
10.0,23.48535899054208,6.800249486786843,0.28625810768997745,
11.0,23.27569881806679,6.86419741372906,0.1532064779621295,
12.0,23.096623357761988,6.923297280730079,0.03024182869174294,
13.0,22.943670986766698,6.977916635611501,-0.08340055783946426,
14.0,22.813030932829314,7.0283951580352895,-0.18842742579823243,
15.0,22.701448329815673,7.0750467751500565,-0.2854919395332083,
16.0,22.606143123486937,7.118161614404979,-0.37519774538091955,
17.0,22.524740807103868,7.158007807935769,-0.45810272571861105,
18.0,22.455213261151414,7.194833160096314,-0.5347224684412475,
19.0,22.395828223219294,7.2288666885612685,-0.6055334734130673,
20.0,22.345106129092592,7.260320048592301,-0.6709761158305731,
21.0,22.30178324975826,7.289388849326862,-0.7314573849255375,
22.0,22.264780205894787,7.31625387027572,-0.7873534150399779,
23.0,22.233175075390996,7.3410821855947095,-0.8390118248138988,
24.0,22.206180423874017,7.364028203122582,-0.886753879033254,
25.0,22.18312368596763,7.385234624646751,-0.9308764865827128,
26.0,22.163430408484516,7.404833333368839,-0.9716540469285414,
27.0,22.14660993806057,7.422946214089214,-1.0093401566149143,
28.0,22.13224319664207,7.439685911211239,-1.0441691863863976,
29.0,22.119972240254768,7.455156529279291,-1.0763577387447618,
30.0,22.10949134091422,7.469454280407216,-1.1061059950047016,
31.0,22.100539369485126,7.482668082623575,-1.1335989602258323,
32.0,22.09289328971054,7.494880112854823,-1.1590076137632217,
33.0,22.08636260131609,7.5061663179854134,-1.1824899725917597,
34.0,22.080784593740617,7.516596887173152,-1.2041920740171967,
35.0,22.07602029224087,7.526236688357105,-1.224248883885359,
36.0,22.071950995368574,7.535145671672739,-1.2427851359377113,
37.0,22.06847531755185,7.543379242283135,-1.2599161075332366,
38.0,22.06550666309758,7.550988604944911,-1.275748336560865,
39.0,22.06297106868016,7.558021082451733,-1.2903802840009482,
40.0,22.060805360562657,7.564520409935804,-1.3039029462562595,
41.0,22.05895558063809,7.570527006857619,-1.3164004210606237,
42.0,22.057375642075876,7.576078228375472,-1.3279504304845722,
43.0,22.05602618107933,7.581208597658013,-1.3386248042906082,
44.0,22.054873576146,7.585950020584586,-1.3484899266440784,
45.0,22.053889110395783,7.590331984168599,-1.357607148957757,
46.0,22.053048256096695,7.594381739937907,-1.3660331714376304,
47.0,22.052330063562167,7.5981244734126605,-1.373820395702724,
48.0,22.05171663919459,7.6015834607346155,-1.381017250671923,
49.0,22.051192699670498,7.604780213421962,-1.3876684937444845,
50.0,22.05074519116023,7.607734612149934,-1.3938154891472865,
51.0,22.05036296409478,7.610465030389166,-1.3994964651798638,
52.0,22.050036495376954,7.612988448670709,-1.4047467519570438,
53.0,22.049757651115648,7.615320560188326,-1.4095990011277069,
54.0,22.04951948397185,7.61747586839481,-1.414083388936109,
55.0,22.049316060067333,7.619467777199276,-1.4182278038886083,
56.0,22.049142311143502,7.621308674326365,-1.4220580201928972,
57.0,22.0489939082869,7.623010008355779,-1.4255978580483695,
58.0,22.04886715407534,7.624582359921245,-1.4288693317844618,
59.0,22.048758890457542,7.626035507511712,-1.4318927867682538,
60.0,22.048666420070997,7.6273784882839895,-1.4346870259327515,
61.0,22.048587439037835,7.628619654265022,-1.4372694267127433,
62.0,22.048519979564247,7.629766724293329,-1.4396560491154466,
63.0,22.04846236091334,7.630826832022633,-1.4418617355980472,
64.0,22.04841314753004,7.631806570286204,-1.4439002033732669,
65.0,22.048371113274488,7.632712032097841,-1.4457841297170095,
66.0,22.048335210873123,7.633548848544455,-1.44752523080862,
67.0,22.048304545826095,7.634322223805922,-1.4491343345940604,
68.0,22.04827835412098,7.635036967519994,-1.450621448125144,
69.0,22.04825598319762,7.6356975246935415,-1.4519958197936107,
70.0,22.048236875689728,7.636308003346145,-1.453265996847079,
71.0,22.048220555538272,7.636872200057967,-1.4544398785445654,
72.0,22.048206616130514,7.63739362358076,-1.455524765282151,
73.0,22.048194710169405,7.637875516658873,-1.456527403994306,
74.0,22.048184541020724,7.638320876195953,-1.4574540301132206,
75.0,22.04817585532253,7.638732471892752,-1.4583104063470982,
76.0,22.048168436672704,7.639112863471955,-1.459101858518562,
77.0,22.048162100237338,7.639464416597155,-1.4598333086860649,
78.0,22.04815668814563,7.639789317584966,-1.4605093057542773,
79.0,22.0481520655566,7.640089587001773,-1.4611340537638262,
80.0,22.048148117299526,7.640367092229679,-1.4617114380363165,
81.0,22.048144745004528,7.640623559079799,-1.4622450493372308,
82.0,22.04814186465165,7.640860582525109,-1.4627382062069798,
83.0,22.0481394044776,7.641079636619627,-1.4631939755989771,
84.0,22.048137303187705,7.6412820836655815,-1.4636151919530902,
85.0,22.048135508428835,7.641469182685602,-1.464004474823085,
86.0,22.048133975484983,7.641642097252606,-1.4643642451676868,
87.0,22.048132666163234,7.641801902726088,-1.4646967404065776,
88.0,22.04813154784213,7.6419495929398,-1.4650040283349568,
89.0,22.048130592658964,7.6420860863824265,-1.4652880199832063,
90.0,22.04812977681558,7.6422122319096895,-1.465550481501629,
91.0,22.04812907998543,7.642328814023395,-1.4657930451441776,
92.0,22.04812848480715,7.642436557750272,-1.4660172194194772,
93.0,22.048127976452022,7.642536133150925,-1.4662243984722738,
94.0,22.048127542254495,7.64262815948696,-1.466415870753651,
95.0,22.048127171396636,7.642713209072183,-1.466592827033936,
96.0,22.048126854638618,7.642791810831835,-1.466756367808125,
97.0,22.048126584088482,7.642864453591988,-1.4669075101398883,
98.0,22.048126353005536,7.642931589119563,-1.4670471939867094,
99.0,22.048126155632406,7.642993634931882,-1.4671762880455024,

